kode_kabupaten_kota,nama_kabupaten_kota,tahun,persentase_penduduk_miskin,garis_kemiskinan,persentase_sanitasi_layak,jumlah_nakes_gizi,prediksi_jumlah_balita_stunting
3212,Indramayu,2025,12.542857142857144,566662.714285709,103.5,52.42857142857156,6526.22
3212,Indramayu,2026,12.62250000000003,584946.6785714254,107.33214285714348,54.17857142857156,6645.26
