Model,R2 Score,MAE,MSE,RMSE
Random Forest Regressor,-31.05585607451122,17632.27,320907841.3529,17913.900785504535
Linear Regression,-17.137698504550468,12519.757590389847,181574613.40841025,13474.962464081682
